"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"C.J. Stroud","HOU","QB","41.8","41.8","1","30","470","5","0","0","10","0","0","0","0","0","0"
"Tank Dell","HOU","WR","29.6","29.6","1","0","0","0","0","2","2","0","0","11","6","114","2"
"Dak Prescott","DAL","QB","28.4","28.4","1","29","374","3","0","6","14","0","0","0","0","0","0"
"CeeDee Lamb","DAL","WR","28.1","28.1","1","0","0","0","0","0","0","0","1","16","11","191","0"
"Rachaad White","TB","RB","27.9","27.9","1","0","0","0","0","20","73","2","0","4","4","46","0"
"Noah Brown","HOU","WR","27.3","27.3","1","0","0","0","0","0","0","0","0","6","6","153","1"
"Dalton Schultz","HOU","TE","27","27","1","0","0","0","0","0","0","0","1","11","10","130","1"
"Jalen Hurts","PHI","QB","25.9","25.9","1","17","207","2","0","10","36","1","0","0","0","0","0"
"Joshua Dobbs","MIN","QB","24.9","24.9","1","20","158","2","0","7","66","1","2","0","0","0","0"
"Amari Cooper","CLE","WR","24.9","24.9","1","0","0","0","0","0","0","0","0","5","5","139","1"
"Josh Allen","BUF","QB","24.7","24.7","1","26","258","1","1","8","44","1","0","0","0","0","0"
"Cole Kmet","CHI","TE","23.5","23.5","1","0","0","0","0","0","0","0","0","8","6","55","2"
"Cade Otton","TB","TE","23","23","1","0","0","0","0","0","0","0","1","9","6","70","2"
"Rhamondre Stevenson","NE","RB","22.9","22.9","1","0","0","0","0","9","87","1","0","6","4","42","0"
"Stefon Diggs","BUF","WR","22.6","22.6","1","0","0","0","0","0","0","0","0","7","6","86","1"
"Joe Burrow","CIN","QB","22.3","22.3","1","31","348","2","0","5","4","0","0","0","0","0","0"
"Jake Ferguson","DAL","TE","22.1","22.1","1","0","0","0","0","0","0","0","0","10","7","91","1"
"Diontae Johnson","PIT","WR","22","22","1","0","0","0","0","0","0","0","0","9","7","90","1"
